,putCall,symbol,description,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,percentChange,markChange,markPercentChange,intrinsicValue,extrinsicValue,optionRoot,exerciseType,high52Week,low52Week,pennyPilot,inTheMoney,mini,nonStandard
0,CALL,SPY   260127C00690000,SPY 01/27/2026 690.00 C,OPR,4.01,5.45,5.45,4.73,1,1,1X1,1,6.58,3.93,0.0,3.47,6199,1769548394114,1769548499024,1.98,41.801,1.0,0.0,-0.0,0.0,0.0,6480,-0.04,5.49,29.0,690.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,57.06,1.26,36.32,5.49,-0.04,SPY,A,9.5,0.83,True,True,False,False
1,CALL,SPY   260127C00691000,SPY 01/27/2026 691.00 C,OPR,3.15,4.52,4.46,3.84,3,190,3X190,5,5.56,2.99,0.0,2.66,6464,1769548416933,1769548499028,1.8,34.845,1.0,0.0,-0.0,0.0,0.0,3952,-0.03,4.49,29.0,691.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,67.71,1.18,44.27,4.49,-0.03,SPY,A,7.77,0.65,True,True,False,False
2,CALL,SPY   260127C00692000,SPY 01/27/2026 692.00 C,OPR,2.5,3.49,3.4,3.0,1,150,1X150,4,4.58,2.17,0.0,1.93,16856,1769548369051,1769548499053,1.47,27.741,1.0,0.0,-0.0,0.0,0.0,8767,-0.09,3.49,29.0,692.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,76.35,1.07,55.55,3.49,-0.09,SPY,A,7.35,0.52,True,True,False,False
3,CALL,SPY   260127C00693000,SPY 01/27/2026 693.00 C,OPR,2.1,2.48,2.44,2.29,1,150,1X150,11,3.61,1.43,0.0,1.41,50948,1769548429434,1769548499053,1.03,20.43,1.0,0.0,-0.0,0.0,0.0,14247,-0.05,2.49,29.0,693.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,73.05,0.88,62.41,2.49,-0.05,SPY,A,6.6,0.39,True,True,False,False
4,CALL,SPY   260127C00694000,SPY 01/27/2026 694.00 C,OPR,1.24,1.47,1.35,1.36,1,150,1X150,3,2.64,0.84,0.0,0.9,171761,1769548495226,1769548498456,0.46,15.523,1.0,0.0,-0.0,0.0,0.0,13919,-0.14,1.49,29.0,694.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,51.4,0.46,51.4,1.49,-0.14,SPY,A,6.22,0.32,True,True,False,False
5,CALL,SPY   260127C00695000,SPY 01/27/2026 695.00 C,OPR,0.33,0.45,0.33,0.39,163,40,163X40,2,1.73,0.29,0.0,0.51,487572,1769548498891,1769548499562,-0.17,5.687,1.0,0.0,-0.0,0.0,0.0,13012,-0.16,0.49,29.0,695.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-33.66,-0.11,-22.77,0.49,-0.16,SPY,A,7.06,0.22,True,True,False,False
6,CALL,SPY   260127C00696000,SPY 01/27/2026 696.00 C,OPR,0.0,0.01,0.01,0.01,0,661,0X661,1,0.95,0.01,0.0,0.25,899098,1769548494309,1769548499002,-0.23,6.605,0.037,0.237,-0.005,0.004,0.0,7128,0.01,0.005,29.0,696.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-93.88,-0.24,-97.96,-0.51,0.52,SPY,A,4.96,0.01,True,False,False,False
7,CALL,SPY   260127C00697000,SPY 01/27/2026 697.00 C,OPR,0.0,0.01,0.01,0.01,0,853,0X853,1,0.38,0.01,0.0,0.1,539353,1769548493992,1769548495933,-0.09,14.723,0.018,0.057,-0.005,0.002,0.0,18345,0.01,0.005,29.0,697.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-94.74,-0.09,-94.74,-1.51,1.52,SPY,A,4.29,0.01,True,False,False,False
8,CALL,SPY   260127C00698000,SPY 01/27/2026 698.00 C,OPR,0.0,0.01,0.01,0.01,0,986,0X986,2,0.12,0.01,0.0,0.04,217451,1769548368608,1769548495844,-0.03,22.216,0.012,0.027,-0.005,0.002,0.0,10573,0.01,0.005,29.0,698.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-85.71,-0.03,-85.71,-2.51,2.52,SPY,A,3.76,0.01,True,False,False,False
9,CALL,SPY   260127C00699000,SPY 01/27/2026 699.00 C,OPR,0.0,0.01,0.01,0.01,0,2915,0X2915,20,0.05,0.01,0.0,0.03,37463,1769548243327,1769548491301,-0.02,29.395,0.01,0.017,-0.005,0.001,0.0,8034,0.01,0.005,29.0,699.0,2026-01-27,0,W,1769562000000,100.0,P,100 SPY,-80.0,-0.02,-80.0,-3.51,3.52,SPY,A,3.34,0.01,True,False,False,False
